"filename", "language", "Markdown", "GLSL", "XML", "HTML", "YAML", "C", "C++", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00017_source.html", "HTML", 0, 0, 0, -275, 0, 0, 0, 0, 0, -5, -3, -283
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00018.html", "HTML", 0, 0, 0, -131, 0, 0, 0, 0, 0, -5, -6, -142
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00018_source.html", "HTML", 0, 0, 0, -138, 0, 0, 0, 0, 0, -5, -3, -146
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00019_source.html", "HTML", 0, 0, 0, -143, 0, 0, 0, 0, 0, -5, -3, -151
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00020_source.html", "HTML", 0, 0, 0, -123, 0, 0, 0, 0, 0, -5, -3, -131
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00021.html", "HTML", 0, 0, 0, -213, 0, 0, 0, 0, 0, -5, -6, -224
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00021_source.html", "HTML", 0, 0, 0, -217, 0, 0, 0, 0, 0, -5, -3, -225
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00022.html", "HTML", 0, 0, 0, -182, 0, 0, 0, 0, 0, -5, -6, -193
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00022_source.html", "HTML", 0, 0, 0, -310, 0, 0, 0, 0, 0, -5, -3, -318
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00023.html", "HTML", 0, 0, 0, -234, 0, 0, 0, 0, 0, -5, -6, -245
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00023_source.html", "HTML", 0, 0, 0, -247, 0, 0, 0, 0, 0, -5, -3, -255
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00024.html", "HTML", 0, 0, 0, -123, 0, 0, 0, 0, 0, -5, -6, -134
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00024_source.html", "HTML", 0, 0, 0, -125, 0, 0, 0, 0, 0, -5, -3, -133
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00025.html", "HTML", 0, 0, 0, -269, 0, 0, 0, 0, 0, -5, -6, -280
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00025_source.html", "HTML", 0, 0, 0, -373, 0, 0, 0, 0, 0, -5, -3, -381
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00026.html", "HTML", 0, 0, 0, -133, 0, 0, 0, 0, 0, -5, -6, -144
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00026_source.html", "HTML", 0, 0, 0, -140, 0, 0, 0, 0, 0, -5, -3, -148
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00027.html", "HTML", 0, 0, 0, -98, 0, 0, 0, 0, 0, -5, -6, -109
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00027_source.html", "HTML", 0, 0, 0, -442, 0, 0, 0, 0, 0, -5, -3, -450
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00028.html", "HTML", 0, 0, 0, -109, 0, 0, 0, 0, 0, -5, -6, -120
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00028_source.html", "HTML", 0, 0, 0, -120, 0, 0, 0, 0, 0, -5, -3, -128
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00029.html", "HTML", 0, 0, 0, -173, 0, 0, 0, 0, 0, -5, -6, -184
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\a00029_source.html", "HTML", 0, 0, 0, -212, 0, 0, 0, 0, 0, -5, -3, -220
